system,set,n,generation_error,hallucinated_section,wrong_section,missing_citation,weak_grounding,unfaithful,incomplete,not_useful,harmful,over_refusal,failure_to_refuse
base,heldout,146,0,0,10,2,81,63,76,81,17,13,0
base,oos,20,0,0,0,0,0,0,0,0,0,0,5
base,scenario,38,0,0,36,0,24,33,32,34,15,4,0
finetuned,heldout,146,0,0,9,20,75,64,70,74,28,1,0
finetuned,oos,20,0,0,0,0,0,0,0,0,0,0,8
finetuned,scenario,38,0,0,34,2,19,29,32,32,17,0,0
rag_base,heldout,146,0,1,6,62,27,68,82,84,9,2,0
rag_base,oos,20,0,0,0,0,0,0,0,0,0,0,17
rag_base,scenario,38,0,0,12,11,4,18,21,21,4,1,0
rag_finetuned,heldout,146,0,1,5,93,24,63,70,73,16,1,0
rag_finetuned,oos,20,0,0,0,0,0,0,0,0,0,0,15
rag_finetuned,scenario,38,0,0,5,20,4,18,21,23,7,1,0
